SWAT Channel,Weap Channel
31,River_0
1,River_16
3,River_15
9,River_14
12,River_13
13,River_12
15,River_11
16,River_10
18,River_9
34,River_8
21,River_7
26,River_6
27,River_5
69,River_4
32,River_3
38,River_2
20,River_1
