Location,Hotels,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Lamatar,1,1,1,2,4,1,1,1,1,4,10,2,1
Phedi,0,0,0,0,0,0,0,0,0,0,0,0,0
Amjilesha,0,0,0,0,0,0,0,0,0,0,0,0,0
Thangem,1,1,1,2,4,1,1,1,1,4,10,2,1
Syajugma,0,0,0,0,0,0,0,0,0,0,0,0,0
Gyabla,3,1,1,6,10,2,1,1,2,10,29,6,1
Phale,3,1,1,6,10,2,1,1,2,10,29,6,1
Ghunsa,7,1,2,14,24,4,2,2,4,22,66,14,2
Lyagep,0,0,0,0,0,0,0,0,0,0,0,0,0
Kangpachen,7,1,2,14,24,4,2,2,4,22,66,14,2
Lonak,7,1,2,14,24,4,2,2,4,22,66,14,2
