ROR Hydropower Name,Capacity(MW),Discharge(m3/s),Efficiency(%),Gross Head(m),Priority,Energy Demand(GJ)
Ghunsa_Khola_Hydropower_Project,155,17,90,1100,50,40176
Middle_Ghunsa_HEP,30,22.6,90,158,50,7776
Ghunsa_Khola_HEP,77.5,21.28,90,432,50,20088
